Timestamp,JobName,LogLevel,Message
2025-02-28T07:59:55Z,StockDataTransformation,INFO,"Initializing Glue job 'StockDataTransformation'"
2025-02-28T08:00:00Z,StockDataTransformation,INFO,"Glue job 'StockDataTransformation' started successfully"
2025-02-28T08:00:05Z,StockDataTransformation,INFO,"Setting up Spark context and Glue context"
2025-02-28T08:00:10Z,StockDataTransformation,INFO,"Job parameters loaded successfully"
2025-02-28T08:00:15Z,StockDataTransformation,INFO,"Configuring input and output paths"
2025-02-28T08:00:20Z,StockDataTransformation,INFO,"Input path set to s3://input-bucket/stock_data.csv"
2025-02-28T08:00:25Z,StockDataTransformation,INFO,"Output path set to s3://output-bucket/transformed_stock_data"
2025-02-28T08:00:30Z,StockDataTransformation,INFO,"Initializing Spark session"
2025-02-28T08:00:35Z,StockDataTransformation,INFO,"Spark session initialized successfully"
2025-02-28T08:00:40Z,StockDataTransformation,INFO,"Starting data ingestion process"
2025-02-28T08:00:45Z,StockDataTransformation,INFO,"Reading CSV file from S3"
2025-02-28T08:05:00Z,StockDataTransformation,INFO,"Data ingestion in progress: 10% complete"
2025-02-28T08:05:30Z,StockDataTransformation,INFO,"Data ingestion in progress: 20% complete"
2025-02-28T08:06:00Z,StockDataTransformation,INFO,"Data ingestion in progress: 30% complete"
2025-02-28T08:06:30Z,StockDataTransformation,INFO,"Data ingestion in progress: 40% complete"
2025-02-28T08:07:00Z,StockDataTransformation,INFO,"Data ingestion in progress: 50% complete"
2025-02-28T08:07:30Z,StockDataTransformation,INFO,"Data ingestion in progress: 60% complete"
2025-02-28T08:08:00Z,StockDataTransformation,INFO,"Data ingestion in progress: 70% complete"
2025-02-28T08:08:30Z,StockDataTransformation,INFO,"Data ingestion in progress: 80% complete"
2025-02-28T08:09:00Z,StockDataTransformation,INFO,"Data ingestion in progress: 90% complete"
2025-02-28T08:09:30Z,StockDataTransformation,INFO,"Data ingestion completed: 100% complete"
2025-02-28T08:10:00Z,StockDataTransformation,INFO,"Data ingestion completed. 1000000 rows read"
2025-02-28T08:10:05Z,StockDataTransformation,INFO,"Starting data transformation process"
2025-02-28T08:10:10Z,StockDataTransformation,INFO,"Applying schema to DataFrame"
2025-02-28T08:10:15Z,StockDataTransformation,INFO,"Schema applied successfully"
2025-02-28T08:10:20Z,StockDataTransformation,INFO,"Casting 'price' column to DoubleType"
2025-02-28T08:10:25Z,StockDataTransformation,ERROR,"TypeError: Cannot cast column ""price"" to type DoubleType. Some values are non-numeric"
2025-02-28T08:10:30Z,StockDataTransformation,INFO,"Error encountered during data transformation"
2025-02-28T08:10:35Z,StockDataTransformation,INFO,"Attempting to identify problematic rows"
2025-02-28T08:10:40Z,StockDataTransformation,INFO,"Filtering rows with non-numeric 'price' values"
2025-02-28T08:10:45Z,StockDataTransformation,INFO,"Found 50 rows with non-numeric 'price' values"
2025-02-28T08:10:50Z,StockDataTransformation,INFO,"Logging problematic rows for further investigation"
2025-02-28T08:10:55Z,StockDataTransformation,WARN,"Sample problematic row: {""symbol"": ""AAPL"", ""date"": ""2025-02-27"", ""price"": ""N/A"", ""volume"": 1000000}"
2025-02-28T08:11:00Z,StockDataTransformation,INFO,"Attempting to proceed with transformation on valid data"
2025-02-28T08:11:05Z,StockDataTransformation,INFO,"Filtering out rows with non-numeric 'price' values"
2025-02-28T08:11:10Z,StockDataTransformation,INFO,"Proceeding with transformation on 999950 valid rows"
2025-02-28T08:11:15Z,StockDataTransformation,INFO,"Recasting 'price' column to DoubleType"
2025-02-28T08:11:20Z,StockDataTransformation,INFO,"'price' column cast to DoubleType successfully"
2025-02-28T08:11:25Z,StockDataTransformation,INFO,"Casting 'volume' column to IntegerType"
2025-02-28T08:11:30Z,StockDataTransformation,INFO,"'volume' column cast to IntegerType successfully"
2025-02-28T08:11:35Z,StockDataTransformation,INFO,"Calculating market cap"
2025-02-28T08:11:40Z,StockDataTransformation,INFO,"Market cap calculation completed"
2025-02-28T08:11:45Z,StockDataTransformation,INFO,"Calculating average price by symbol"
2025-02-28T08:11:50Z,StockDataTransformation,INFO,"Average price calculation completed"
2025-02-28T08:11:55Z,StockDataTransformation,INFO,"All transformations completed successfully"
2025-02-28T08:12:00Z,StockDataTransformation,INFO,"Preparing to write transformed data to S3"
2025-02-28T08:12:05Z,StockDataTransformation,INFO,"Setting up Parquet write operation"
2025-02-28T08:12:10Z,StockDataTransformation,INFO,"Starting write operation to S3"
2025-02-28T08:12:15Z,StockDataTransformation,INFO,"Write operation in progress: 10% complete"
2025-02-28T08:12:45Z,StockDataTransformation,INFO,"Write operation in progress: 20% complete"
2025-02-28T08:13:15Z,StockDataTransformation,INFO,"Write operation in progress: 30% complete"
2025-02-28T08:13:45Z,StockDataTransformation,INFO,"Write operation in progress: 40% complete"
2025-02-28T08:14:15Z,StockDataTransformation,INFO,"Write operation in progress: 50% complete"
2025-02-28T08:14:45Z,StockDataTransformation,INFO,"Write operation in progress: 60% complete"
2025-02-28T08:15:15Z,StockDataTransformation,INFO,"Write operation in progress: 70% complete"
2025-02-28T08:15:45Z,StockDataTransformation,INFO,"Write operation in progress: 80% complete"
2025-02-28T08:16:15Z,StockDataTransformation,INFO,"Write operation in progress: 90% complete"
2025-02-28T08:16:45Z,StockDataTransformation,INFO,"Write operation completed: 100% complete"
2025-02-28T08:17:00Z,StockDataTransformation,INFO,"Transformed data written to S3 successfully"
2025-02-28T08:17:05Z,StockDataTransformation,INFO,"Verifying written data"
2025-02-28T08:17:10Z,StockDataTransformation,INFO,"Data verification completed successfully"
2025-02-28T08:17:15Z,StockDataTransformation,INFO,"Generating job summary"
2025-02-28T08:17:20Z,StockDataTransformation,INFO,"Job summary: Processed 999950 rows, Skipped 50 rows with invalid data"
2025-02-28T08:17:25Z,StockDataTransformation,INFO,"Cleaning up temporary resources"
2025-02-28T08:17:30Z,StockDataTransformation,INFO,"Temporary resources cleaned up successfully"
2025-02-28T08:17:35Z,StockDataTransformation,INFO,"Preparing to commit job"
2025-02-28T08:17:40Z,StockDataTransformation,INFO,"Job commit initiated"
2025-02-28T08:17:45Z,StockDataTransformation,INFO,"Job committed successfully"
2025-02-28T08:17:50Z,StockDataTransformation,INFO,"Shutting down Spark session"
2025-02-28T08:17:55Z,StockDataTransformation,INFO,"Spark session shut down successfully"
2025-02-28T08:18:00Z,StockDataTransformation,INFO,"Glue job 'StockDataTransformation' completed with warnings"
2025-02-28T08:18:05Z,StockDataTransformation,WARN,"50 rows were skipped due to invalid data in the 'price' column"
2025-02-28T08:18:10Z,StockDataTransformation,INFO,"Total job runtime: 18 minutes and 15 seconds"
2025-02-28T08:18:15Z,StockDataTransformation,INFO,"Job resources released"
2025-02-28T08:18:20Z,StockDataTransformation,INFO,"CloudWatch metrics updated"
2025-02-28T08:18:25Z,StockDataTransformation,INFO,"Job logs finalized"
2025-02-28T08:18:30Z,StockDataTransformation,INFO,"Glue job 'StockDataTransformation' execution ended"
